Label,HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,Head X,Head Y,Head Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
moving,0.00243116,0.0016209,0.011131,0.00316246,0.00154,0.013959,0.00490337,0.003139,0.015854,0.01042578,0.0050864,0.016865,0.0045468,0.0022429,0.016088,0.0105832,0.0131972,0.02685,0.0022036,0.0484232,0.028685,0.0045923,0.0017505,0.011497,0.0042115,0.0061173,0.017933,0.0184229,0.0578198,0.029753,0.06943942,0.0063427,0.02794,0.0142819,0.0040476,0.05399,0.0023122,0.0013869,0.010795,0.003021,0.0044446,0.027019,0.0052925,0.026596,0.043366,0.0089234,0.0175019,0.050777,0.002592566,0.0018765,0.011274,0.00129032,0.0010788,0.007028,0.00282256,0.0027832,0.004701,0.0038379,0.0029553,0.004692
moving,0.00625985,0.0060363,0.016688,0.0073345,0.0050063,0.017061,0.01308898,0.0021213,0.017299,0.01053483,0.0049701,0.020755,0.0115483,0.0063268,0.021532,0.0149344,0.0118145,0.033486,0.0175148,0.0488159,0.043979,0.0072094,0.0050612,0.020718,0.01077357,0.0045319,0.021437,0.0427016,0.0209647,0.130902,0.04797246,0.0199313,0.116512,0.0669305,0.009334,0.128614,0.0057765,0.0050929,0.017707,0.0034694,0.0062734,0.018222,0.0128216,0.0239481,0.017177,0.0035019,0.0071874,0.007449,0.00598096,0.0058848,0.01928,0.00357806,0.0032782,0.010641,0.00291742,0.0104976,0.007551,0.00429472,0.010236,0.0078
moving,0.009969,0.0054345,0.021499,0.0104896,0.0047906,0.020277,0.0107583,0.0051551,0.017939,0.0109695,0.0069893,0.016162,0.0220186,0.005386,0.026778,0.0187462,0.0161328,0.019553,0.0111733,0.0156012,0.018794,0.008031,0.0087052,0.018668,0.00938468,0.0049028,0.020651,0.01910664,0.0441625,0.047942,0.05995252,0.0105152,0.087639,0.05566554,0.0045969,0.047319,0.0121873,0.0065354,0.026989,0.0071386,0.0093036,0.017837,0.0063191,0.0072479,0.01375,0.0020135,0.0102075,0.021007,0.00844204,0.0042558,0.024082,0.0107654,0.0024597,0.019988,0.0026565,0.0009363,0.00279,0.00421257,0.0011192,0.003011
moving,0.0066945,0.0042073,0.018609,0.0072313,0.0035916,0.017021,0.015677,0.0042076,0.016921,0.008345,0.0021847,0.012306,0.0084186,0.0033356,0.015397,0.0043808,0.0028336,0.016718,0.0072327,0.0043946,0.016703,0.0241547,0.0034976,0.03323,0.007501926,0.0098511,0.031671,0.01551309,0.0657413,0.144515,0.062061556,0.0303802,0.118148,0.01765409,0.0073756,0.07174,0.0052493,0.0038783,0.016631,0.0043691,0.002218,0.008585,0.0037938,0.0047531,0.001526,0.0046625,0.0038509,0.002606,0.00708384,0.0041947,0.021156,0.00777626,0.0061741,0.020289,0.01571774,0.0162287,0.046623,0.00894424,0.0298839,0.046763
moving,0.0017927,0.004665,0.012156,0.0023911,0.0043467,0.013165,0.0081426,0.0027374,0.019563,0.0038558,0.0038996,0.01854,0.0069325,0.0081207,0.013375,0.0108126,0.0066269,0.014353,0.0028743,0.0023345,0.014606,0.0254198,0.0020385,0.028687,0.00312994,0.0067897,0.026185,0.01073373,0.0047805,0.014918,0.01658465,0.0291512,0.027332,0.01270186,0.0136771,0.045251,0.0030325,0.0042379,0.010734,0.0016211,0.0099101,0.007604,0.0038108,0.0026052,0.003103,0.0072301,0.0304519,0.047441,0.0010564,0.0042622,0.01519,0.00742263,0.0184959,0.030757,0.03359546,0.0706817,0.071109,0.0327392,0.0884687,0.07109
moving,0.0011751,0.0043534,0.033858,0.0022926,0.0047633,0.036414,0.0037492,0.0045937,0.043906,0.0030654,0.0006882,0.049703,0.0075708,0.0137453,0.048995,0.0139142,0.0137707,0.041439,0.0071563,0.0049864,0.037261,0.006656,0.0117227,0.046736,0.00436451,0.0027519,0.0295,0.00860935,0.0050153,0.026285,0.03903564,0.0213117,0.01693,0.00969784,0.0029023,0.025358,0.0019037,0.006247,0.043089,0.0034892,0.0052035,0.012444,0.0044954,0.0095824,0.004309,0.0069031,0.0294573,0.050169,0.00257643,0.0049992,0.022835,0.00436389,0.0115026,0.066494,0.0130511,0.0462508,0.066082,0.0322394,0.0463073,0.106246
not moving,0.00104111,0.0008281,5.50E-05,0.00108011,0.0006157,0.000167,0.00142224,0.000361,0.000985,0.00267436,0.0005359,0.001279,0.00113135,0.0004615,0.000366,0.0024181,0.0014156,0.00051,0.001525,0.00154641,0.000872,0.00125454,0.00033723,0.000821,0.0014405,0.0017623,0.007037,0.001097,0.0003871,0.001607,0.001804,0.0017705,0.001171,0.0024888,0.0023093,0.001027,0.00085569,0.0006125,0.000263,0.0006449,0.0015267,0.000597,0.0005065,0.0011781,0.001869,0.00057574,0.0011068,0.002153,0.00094609,0.0008717,0.000144,0.01107877,0.009564,0.017075,0.0004952,0.0011929,0.001862,0.02911038,0.0523339,0.071774
not moving,0.00213543,0.0011811,0.001764,0.00274483,0.0010338,0.001646,0.00907216,0.001138,0.003143,0.01082523,0.00144,0.005094,0.00752479,0.0013555,0.001418,0.0071597,0.0027481,0.002087,0.0047653,0.00314458,0.001718,0.0054343,0.00384292,0.002413,0.0023038,0.0033003,0.004853,0.0109472,0.0125188,0.005897,0.0070307,0.0109121,0.006217,0.0059834,0.0166903,0.005449,0.00227473,0.0009006,0.001152,0.0007798,0.0006938,0.000116,0.0010941,0.0014692,0.008706,0.07715061,0.0177344,0.033313,0.00080816,0.0023436,0.002805,0.00554351,0.00501,0.008887,0.00080894,0.0023339,0.001958,0.02775753,0.0642348,0.075202
not moving,0.018405299,0.0129497,0.01457,0.02206898,0.0095682,0.014243,0.036379982,0.0056008,0.012268,0.041869754,0.028855,0.022672,0.0479712,0.0055575,0.004085,0.0490509,0.0086488,0.023992,0.0708757,0.0199992,0.038918,0.078869,0.014831534,0.040453,0.0236303,0.0058137,0.040939,0.0189561,0.0259525,0.067871,0.0462986,0.0819613,0.105538,0.0578381,0.09547095,0.159406,0.02487735,0.0083678,0.007884,0.0058968,0.0057062,0.003027,0.002864,0.0017513,0.01567,0.0731986,0.0106548,0.061204,0.01688379,0.0111947,0.018631,0.00367613,0.0048042,0.003943,0.00115344,0.0018088,0.004894,0.03325893,0.0598004,0.084227
not moving,0.00516464,0.001247,0.002067,0.00535595,0.0011611,0.002125,0.006333,0.0008159,0.002813,0.011574689,0.0006895,0.005317,0.007964,0.0011424,0.000356,0.0082499,0.0102007,0.00432,0.0096702,0.00852898,0.008804,0.0105149,0.003905597,0.006349,0.00458806,0.0024985,0.007041,0.0027818,0.0081603,0.019253,0.0035352,0.0100445,0.040579,0.0111244,0.01736181,0.049011,0.005468,0.000915,0.000926,0.0030416,0.0015082,0.000622,0.0007489,0.0010259,0.001458,0.0609555,0.0107969,0.049946,0.00434214,0.0016867,0.003334,0.00054093,0.0047056,0.007087,0.00098348,0.0020594,0.004093,0.00519381,0.0019883,0.006126
