Label,HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,Head X,Head Y,Head Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
walking,0.0511017,0.0147122,0.104692,0.0501362,0.0166011,0.106487,0.0431736,0.0265705,0.114735,0.0569312,0.0219073,0.11948,0.0539082,0.0238822,0.09257,0.0482337,0.033978,0.088472,0.0392113,0.0308115,0.138061,0.0326307,0.0361228,0.139131,0.0487095,0.026867,0.139704,0.0655699,0.0561048,0.159481,0.0836119,0.09216453,0.147059,0.087312,0.096374322,0.169921,0.0534878,0.01296837,0.093995,0.0300037,0.0323775,0.107754,0.067821,0.1378604,0.090323,0.077713,0.137481,0.085498,0.0504934,0.01878989,0.110971,0.1007862,0.0057415,0.128428,0.1367961,0.0389931,0.255049,0.1353598,0.0458495,0.255708
walking,0.0233126,0.0029128,0.068438,0.021597,0.0037878,0.070364,0.0133095,0.0116257,0.07912,0.0200486,0.0131034,0.080599,0.0060005,0.0133323,0.064873,0.016192,0.0275177,0.032715,0.0474576,0.02830347,0.014818,0.0500124,0.02493597,0.030984,0.0175892,0.0032146,0.084319,0.0094719,0.0050056,0.075816,0.0225542,0.060039938,0.0383,0.0161928,0.06580472,0.037348,0.0228389,0.0056642,0.0656,0.0609839,0.0336995,0.026796,0.0349259,0.1240669,0.06189,0.0311822,0.1241541,0.106195,0.0283847,0.00255656,0.066924,0.0044785,0.0142402,0.031983,0.0030648,0.0029496,0.008316,0.007796,0.0031996,0.005379
walking,0.0091323,0.0044784,0.015126,0.0094668,0.0044807,0.013768,0.0114113,0.0098143,0.024596,0.0116879,0.0062729,0.019271,0.012709,0.0052237,0.028136,0.0051316,0.0198263,0.015924,0.0064911,0.02186009,0.016128,0.0126997,0.05505356,0.03018,0.0111497,0.0059156,0.015703,0.0117609,0.0022194,0.023178,0.0117327,0.009729848,0.021866,0.0066427,0.00584428,0.015944,0.0082146,0.00420287,0.015181,0.0142867,0.0102305,0.02623,0.0289666,0.0386413,0.045891,0.0298284,0.0395612,0.045311,0.0091256,0.00512319,0.018596,0.0064292,0.0144778,0.009399,0.0042729,0.0074528,0.011793,0.0045957,0.0083727,0.013305
walking,0.0139492,0.0164827,0.019929,0.0149752,0.0140797,0.02033,0.0220202,0.0065001,0.022067,0.0290064,0.013197,0.023862,0.0222932,0.0414652,0.042676,0.0207376,0.0501201,0.040571,0.0259594,0.052974446,0.041986,0.0313979,0.03048359,0.024865,0.0242973,0.0061935,0.016417,0.0146966,0.0114354,0.013209,0.0257941,0.012624024,0.028437,0.0277718,0.00769386,0.045545,0.0139839,0.01829058,0.024207,0.0095613,0.0074798,0.013984,0.0045696,0.0127466,0.009534,0.0110758,0.0383795,0.037897,0.0141638,0.01467511,0.015981,0.0086751,0.0047084,0.013807,0.0024879,0.0031423,0.005077,0.008053,0.0031658,0.005192
walking,0.014551,0.0056672,0.020953,0.0146171,0.0041111,0.021395,0.0188483,0.0028122,0.022886,0.014467,0.0083892,0.016049,0.0195992,0.005296,0.025311,0.0388868,0.0068897,0.050425,0.0393811,0.02560136,0.07346,0.0428433,0.018001332,0.079243,0.0143395,0.0052716,0.018448,0.0237469,0.0044306,0.030439,0.0167448,0.028823704,0.035039,0.0318709,0.016900246,0.03249,0.0170351,0.0068538,0.022538,0.0107148,0.0049501,0.012491,0.0047006,0.0056887,0.003008,0.0029593,0.005873,0.004018,0.0115517,0.00415406,0.017151,0.0206544,0.0040378,0.023696,0.0121837,0.0095303,0.014111,0.031859,0.0443974,0.09847
walking,0.0072431,0.00300786,0.010457,0.0075533,0.0028313,0.010605,0.0130114,0.0029023,0.013466,0.0088903,0.0060047,0.016672,0.0094673,0.0052172,0.011702,0.0140255,0.0053835,0.022645,0.0159275,0.00721061,0.02987,0.0157947,0.018879799,0.046394,0.0065761,0.0020973,0.007644,0.0104302,0.0069502,0.010955,0.0083422,0.00975157,0.019101,0.0083043,0.00455891,0.018876,0.0068595,0.004625,0.010222,0.0033875,0.0117758,0.009309,0.0022045,0.0116481,0.007831,0.0027668,0.0112823,0.007363,0.0064534,0.00219786,0.010452,0.0124054,0.0035653,0.024937,0.0373998,0.018997,0.060672,0.0361461,0.0186314,0.060204
walking,0.0056566,0.00299899,0.013928,0.0053246,0.0032627,0.013215,0.0058746,0.0048206,0.013022,0.0028974,0.0046992,0.015357,0.0040876,0.0042115,0.01348,0.0042634,0.0082937,0.021517,0.0179742,0.03897568,0.062085,0.0173018,0.0114168,0.068612,0.0057484,0.0047566,0.014243,0.0038571,0.0066154,0.009542,0.0019935,0.0135165,0.004839,0.0093277,0.029303872,0.015636,0.0055538,0.0037556,0.013593,0.0053934,0.0126027,0.009667,0.0020966,0.0046364,0.006212,0.0040395,0.004461,0.006062,0.0060273,0.0038948,0.016064,0.008728,0.0047363,0.017985,0.0125723,0.0049573,0.062518,0.0114221,0.0048132,0.063068
walking,0.003344,0.00418421,0.020472,0.0037215,0.003858,0.021115,0.0080539,0.0046929,0.023443,0.0058601,0.0051224,0.022067,0.0086262,0.0117438,0.041885,0.0063202,0.0142666,0.023351,0.0059623,0.00685981,0.043603,0.0141809,0.01593962,0.018055,0.0039978,0.0080942,0.018149,0.0014127,0.0156686,0.020649,0.0042132,0.0575503,0.009842,0.0061145,0.03670666,0.016843,0.0042593,0.003458956,0.018732,0.0052147,0.0078324,0.015338,0.0021506,0.0019551,0.005063,0.0036182,0.0018976,0.005264,0.0025205,0.00389762,0.020447,0.0074264,0.0063487,0.022723,0.0038424,0.0105628,0.009267,0.0034033,0.0105053,0.009469
walking,0.0051448,0.00520037,0.022752,0.0039994,0.004727,0.02298,0.0051458,0.0066747,0.023416,0.0052091,0.0045,0.031344,0.0038204,0.0132115,0.030852,0.0037453,0.0100227,0.012358,0.0154752,0.04215219,0.045885,0.0104207,0.038260899,0.044378,0.0095455,0.0031224,0.032935,0.0018075,0.0048695,0.028756,0.0018475,0.01342784,0.030581,0.0038005,0.01133593,0.028723,0.0056416,0.00635173,0.020002,0.0085705,0.0025375,0.029909,0.0107633,0.0051945,0.034099,0.013486,0.0406418,0.129181,0.0075013,0.00397531,0.024728,0.0014329,0.0031304,0.009596,0.0010851,0.0071277,0.002133,0.003202,0.0072848,0.002892
walking,0.0067089,0.00280871,0.01101,0.0074819,0.0030021,0.011013,0.0117885,0.0039376,0.011784,0.0059074,0.0026911,0.011141,0.0043075,0.0106997,0.014642,0.0020678,0.0020993,0.001213,0.0160327,0.04284246,0.02058,0.0166188,0.0172474,0.027202,0.0083487,0.0071774,0.012803,0.0071513,0.0082856,0.014969,0.0168744,0.03511639,0.03631,0.0123058,0.01362009,0.027545,0.0037857,0.00242558,0.011023,0.0112395,0.0081573,0.025648,0.0242013,0.0173521,0.046817,0.0341739,0.0477612,0.108998,0.0085371,0.00529426,0.013151,0.0017536,0.0164619,0.005079,0.0010728,0.0070162,0.000991,0.0021803,0.0070392,0.000952
